"DMA","Date","Time","Flow","Flow Validity Code"
5,01/04/2016,00:00:00,2.66700006,"V"
5,01/04/2016,00:15:00,2.67799997,"V"
5,01/04/2016,00:30:00,2.68899989,"V"
5,01/04/2016,00:45:00,2.6559999,"V"
